,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,21963,24.0,5.0,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,4.657159781886475
1,10410,35.0,4.3,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,9.348433429696803
2,38301,38.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,36,10.642185461889508
3,44997,27.0,4.9,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,20.2875618822922
4,16861,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,14.02209608257701
5,7720,37.0,4.9,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,29,9.177855596110662
6,22162,22.0,5.0,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,12,13.682164847789554
7,13431,,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,27,8.952822746360196
8,28737,38.0,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3.0,No,Metropolitian,44,17.297865752893937
9,41391,,,,,3,Snack,electric_scooter,1.0,No,Metropolitian,31,2.9846674426296116
10,13705,34.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,51,13.611585111828559
11,41447,35.0,5.0,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,37,9.075387359302276
12,27512,29.0,4.4,Cloudy,Jam,2,Buffet,scooter,1.0,No,,36,12.209868225895356
13,44248,20.0,4.8,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,15,3.1092107402763944
14,7755,26.0,4.6,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,23,9.31503559372121
15,25267,37.0,4.7,Stormy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,26,20.182693224614507
16,39689,30.0,4.9,Cloudy,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,53,13.763977224483765
17,15031,37.0,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,19.880157869978767
18,10307,23.0,5.0,Sunny,Low,2,Meal,scooter,1.0,No,Urban,24,7.7909441384951865
19,39568,22.0,4.7,Sandstorms,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,16.851738065938477
20,42595,38.0,5.0,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,29,9.056672984232305
21,21105,29.0,4.9,Windy,High,2,Snack,electric_scooter,1.0,No,Urban,13,1.5322647868634527
22,22739,20.0,4.9,Fog,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,40,16.902901527472448
23,37144,30.0,4.8,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,7.790489304916118
24,32367,24.0,4.7,Stormy,Jam,1,Meal,scooter,0.0,No,Urban,28,19.917359352869003
25,44899,28.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,26,12.464066309561852
26,2408,39.0,4.9,Windy,Jam,0,Snack,motorcycle,0.0,Yes,Semi-Urban,50,11.007734763545226
27,38238,29.0,4.8,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,13.184918189815095
28,342,33.0,3.9,Windy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,32,13.612594236983208
29,37322,35.0,3.6,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,32,13.971948960232016
30,21967,28.0,4.5,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,17.073813050988182
